Date,Symbol,Order,Shares
2008-01-08,IBM,BUY,100
2008-01-15,IBM,SELL,100
2008-01-17,IBM,BUY,100
2008-01-25,IBM,SELL,100
2008-02-20,IBM,BUY,100
2008-02-27,IBM,SELL,100
2008-09-25,IBM,SELL,100
2008-10-02,IBM,BUY,100
2008-10-03,IBM,SELL,100
2008-10-10,IBM,BUY,100
2008-10-14,IBM,SELL,100
2008-10-21,IBM,BUY,100
2008-10-23,IBM,BUY,100
2008-10-30,IBM,SELL,100
2008-10-31,IBM,SELL,100
2008-11-07,IBM,BUY,100
2008-11-10,IBM,SELL,100
2008-11-17,IBM,BUY,100
2008-11-19,IBM,BUY,100
2008-11-26,IBM,SELL,100
2008-12-01,IBM,BUY,100
2008-12-08,IBM,SELL,100
2008-12-17,IBM,SELL,100
2008-12-24,IBM,BUY,100
2008-12-29,IBM,BUY,100
2009-01-06,IBM,SELL,100
2009-01-13,IBM,BUY,100
2009-01-21,IBM,SELL,100
2009-02-11,IBM,SELL,100
2009-02-19,IBM,BUY,100
2009-02-27,IBM,SELL,100
2009-03-06,IBM,BUY,100
2009-03-09,IBM,BUY,100
2009-03-16,IBM,SELL,100
2009-03-30,IBM,BUY,100
2009-04-06,IBM,SELL,100
2009-04-15,IBM,BUY,100
2009-04-22,IBM,SELL,100
2009-07-09,IBM,BUY,100
2009-07-16,IBM,SELL,100
2009-09-09,IBM,BUY,100
2009-09-16,IBM,SELL,100
